 6.818E+14   6.734E-12   6.815E-12   6.653E-12  56460.3731  56460.3731   Det  SMARTS           Bonning et al. 2012, ApJ 756, 13 
 5.455E+14   2.106E-13   2.135E-13   2.077E-13  56460.3731  56460.3731   Det  SMARTS           Bonning et al. 2012, ApJ 756, 13 
 4.688E+14   5.208E-12   5.424E-12   4.993E-12  56460.3731  56460.3731   Det  SMARTS           Bonning et al. 2012, ApJ 756, 13 
 2.381E+14   6.881E-12   7.173E-12   6.590E-12  56460.3731  56460.3731   Det  SMARTS           Bonning et al. 2012, ApJ 756, 13 
 6.818E+14   7.316E-12   7.377E-12   7.255E-12  56461.3871  56461.3871   Det  SMARTS           Bonning et al. 2012, ApJ 756, 13 
 5.455E+14   3.570E-13   3.600E-13   3.540E-13  56461.3871  56461.3871   Det  SMARTS           Bonning et al. 2012, ApJ 756, 13 
 4.688E+14   5.524E-12   5.570E-12   5.478E-12  56461.3871  56461.3871   Det  SMARTS           Bonning et al. 2012, ApJ 756, 13 
 2.381E+14   6.016E-12   6.105E-12   5.926E-12  56461.3871  56461.3871   Det  SMARTS           Bonning et al. 2012, ApJ 756, 13 
 6.818E+14   5.349E-12   5.404E-12   5.295E-12  56463.4105  56463.4105   Det  SMARTS           Bonning et al. 2012, ApJ 756, 13 
 5.455E+14   2.688E-13   2.718E-13   2.658E-13  56463.4105  56463.4105   Det  SMARTS           Bonning et al. 2012, ApJ 756, 13 
 4.688E+14   3.929E-12   3.969E-12   3.889E-12  56463.4105  56463.4105   Det  SMARTS           Bonning et al. 2012, ApJ 756, 13 
 2.381E+14   3.920E-12   3.982E-12   3.858E-12  56463.4105  56463.4105   Det  SMARTS           Bonning et al. 2012, ApJ 756, 13 
 6.818E+14   5.199E-12   5.251E-12   5.146E-12  56464.4170  56464.4170   Det  SMARTS           Bonning et al. 2012, ApJ 756, 13 
 5.455E+14   2.654E-13   2.683E-13   2.624E-13  56464.4170  56464.4170   Det  SMARTS           Bonning et al. 2012, ApJ 756, 13 
 4.688E+14   4.114E-12   4.156E-12   4.072E-12  56464.4170  56464.4170   Det  SMARTS           Bonning et al. 2012, ApJ 756, 13 
 2.381E+14   4.239E-12   4.306E-12   4.172E-12  56464.4170  56464.4170   Det  SMARTS           Bonning et al. 2012, ApJ 756, 13 
 6.818E+14   4.324E-12   4.453E-12   4.195E-12  56467.3815  56467.3815   Det  SMARTS           Bonning et al. 2012, ApJ 756, 13 
 5.455E+14   1.919E-13   1.973E-13   1.865E-13  56467.3815  56467.3815   Det  SMARTS           Bonning et al. 2012, ApJ 756, 13 
 4.688E+14   2.792E-12   2.860E-12   2.724E-12  56467.3815  56467.3815   Det  SMARTS           Bonning et al. 2012, ApJ 756, 13 
 2.381E+14   2.430E-12   2.485E-12   2.376E-12  56467.3815  56467.3815   Det  SMARTS           Bonning et al. 2012, ApJ 756, 13 
 6.818E+14   4.261E-12   4.368E-12   4.153E-12  56468.4202  56468.4202   Det  SMARTS           Bonning et al. 2012, ApJ 756, 13 
 5.455E+14   1.958E-13   2.006E-13   1.911E-13  56468.4202  56468.4202   Det  SMARTS           Bonning et al. 2012, ApJ 756, 13 
 4.688E+14   2.862E-12   2.921E-12   2.804E-12  56468.4202  56468.4202   Det  SMARTS           Bonning et al. 2012, ApJ 756, 13 
 2.381E+14   2.682E-12   2.745E-12   2.620E-12  56468.4202  56468.4202   Det  SMARTS           Bonning et al. 2012, ApJ 756, 13 
 6.818E+14   4.384E-12   4.524E-12   4.245E-12  56469.4043  56469.4043   Det  SMARTS           Bonning et al. 2012, ApJ 756, 13 
 5.455E+14   1.466E-13   1.531E-13   1.402E-13  56469.4043  56469.4043   Det  SMARTS           Bonning et al. 2012, ApJ 756, 13 
 4.688E+14   2.738E-12   2.831E-12   2.646E-12  56469.4043  56469.4043   Det  SMARTS           Bonning et al. 2012, ApJ 756, 13 
