RUNID RA DEC
288_17_0 17.599470 -0.2783220
289_309_0 310.05120 -0.8665049
28_41_1 41.576970 1.2216740
290_339_-1 339.35840 -1.0321840
291_28_0 28.008390 0.2516218
292_323_0 323.09900 0.2662497
294_339_1 339.69880 1.1603840
295_54_1 54.531980 1.2967350
296_349_0 350.00490 0.0057263
297_338_-1 338.77410 -1.0791540
298_45_1 45.401420 1.2829120
299_30_0 29.991310 -0.0131866
29_29_0 29.991310 -0.0131866
2_322_0 321.94360 0.7953301
300_17_-1 17.628830 -1.1208280
301_1_0 1.2192020 -0.5687763
302_40_0 40.636700 0.9692847
303_1_0 1.7682100 0.9533643
304_341_0 341.85000 0.0217385
306_28_0 28.984970 0.4714336
307_16_1 16.987990 1.0570330
308_16_0 16.931380 -0.4096465
309_330_0 329.95750 0.3005196
30_40_0 40.711870 0.0212541
310_38_0 38.384110 0.8798957
311_40_1 40.260880 1.1420830
312_6_1 6.8203290 1.1553460
313_337_0 337.12810 0.2784830
314_30_0 30.340980 0.5499375
315_310_0 310.55010 0.5260888
316_29_1 29.647440 1.0604650
317_31_1 31.190730 1.3776210
318_30_0 30.593420 -0.1130563
319_16_-1 16.720690 -1.2335660
31_316_0 316.37670 0.4803795
320_33_0 33.652750 -0.7668034
321_57_-1 57.261770 -0.9201683
322_356_0 356.80560 0.2688074
323_0_0 0.5087748 0.5852711
324_23_0 23.872800 -0.7618996
325_5_0 5.3976500 -0.8587052
326_316_-1 316.71670 -1.0700360
327_18_-1 18.090970 -1.4216120
328_30_1 30.470200 1.2811480
329_317_-1 317.81470 -1.1958740
32_17_-1 17.615780 -1.3812830
330_311_0 311.80650 0.0468331
331_40_0 40.636700 0.9692847
332_28_0 28.756470 0.7753428
333_21_-1 21.467950 -1.3755010
334_57_-1 57.209140 -0.9733886
335_2_0 2.7254380 -0.5617285
336_57_-1 57.209140 -0.9733886
338_4_1 4.5544900 1.3244480
339_329_0 329.02480 -0.6167101
33_340_-1 340.12480 -1.1138130
340_45_-1 45.928350 -1.0645940
341_30_0 30.593420 -0.1130563
342_333_0 333.04310 0.4932734
343_29_0 29.647440 1.0604650
345_338_-1 338.77410 -1.0791540
347_29_0 28.984970 0.4714336
349_1_0 1.9117240 0.7810627
350_16_1 16.987990 1.0570330
351_28_0 28.756470 0.7753428
352_325_0 325.21960 0.4967639
353_19_0 19.566370 -0.8813798
354_337_0 337.31190 -0.2469124
355_49_0 49.606550 -0.2882298
357_39_0 39.700600 -0.7525562
358_331_0 331.19920 0.5323288
359_358_-1 357.98930 -1.1238660
35_19_0 19.360900 0.3410379
361_9_-1 9.2592110 -1.2435590
362_10_-1 10.379820 -1.3515030
363_322_0 322.34540 -0.2858358
364_352_0 352.62310 -0.6883664
366_328_0 328.63180 0.6589255
368_19_0 19.223180 0.7831774
369_314_1 314.67140 0.9923684
36_38_0 38.686580 0.8495165
370_331_0 331.67850 -0.5257847
371_55_0 54.997960 0.0103858
372_47_0 47.643990 -0.3568750
373_20_0 20.569920 0.9443502
374_29_0 29.519510 -0.0981591
375_302_0 302.08030 0.4007361
376_42_0 42.404390 0.7902248
377_30_1 30.069590 1.3546020
378_13_-1 13.461140 -1.4989850
379_323_0 323.36970 -0.8146810
380_313_0 313.87080 -0.3678985
381_17_0 17.091910 -0.6145786
382_15_1 15.732910 1.1201090
383_17_0 17.696920 -0.5655958
384_7_0 7.0558270 1.0330230
385_340_1 340.50160 1.0585820
386_5_0 5.3976500 -0.8587052
387_18_0 18.339060 -0.6904441
388_50_-1 50.213560 -1.1015370
389_339_0 339.35840 -1.0321840
38_29_0 29.234940 -0.2261561
390_49_1 49.342240 1.2448380
391_349_0 350.00490 0.0057263
392_31_0 31.129350 0.4104548
393_12_0 12.690540 0.2130814
394_45_0 45.256520 -0.5729334
395_340_0 340.58050 0.8027372
396_310_0 310.92090 0.0151164
397_341_0 341.85000 0.0217385
398_337_0 337.91280 0.2157553
399_337_0 337.31190 -0.2469124
3_38_0 38.444330 0.9599822
400_54_0 54.997960 0.0103858
401_3_0 3.3503620 -0.8055389
402_9_0 9.942506 -0.3979086
403_18_0 17.955450 -0.7138284
404_14_-1 14.108550 -1.2599110
405_20_0 20.457700 0.3933253
406_29_0 29.160710 -0.5172625
407_2_0 2.7254380 -0.5617285
408_31_0 31.129350 0.4104548
409_57_0 57.261770 -0.9201683
40_322_0 322.51330 -0.5832327
410_329_0 329.99740 -0.3735651
411_20_1 20.569920 0.9443502
412_21_-1 21.713650 -1.2504420
413_16_0 16.629620 -0.3754267
414_29_0 29.160710 -0.5172625
415_29_0 29.544020 -0.8559566
416_43_0 43.347840 -0.2511810
417_27_0 27.418300 0.2555615
418_31_0 31.530270 -0.3159039
419_355_0 355.74830 0.8913213
41_17_0 17.599470 -0.2783220
420_15_0 15.972260 -0.8506751
421_330_0 329.99740 -0.3735651
422_40_1 40.260880 1.1420830
424_29_0 29.544020 -0.8559566
425_20_0 20.410920 -0.6321319
426_328_-1 328.95960 -1.0870280
427_57_-1 57.261770 -0.9201683
428_58_0 58.465800 -0.0752635
42_27_1 27.176890 1.4641790
430_39_0 38.964970 0.6570396
431_334_-1 334.77140 -1.0539220
432_31_-1 31.637920 -1.3096080
434_46_0 46.596450 0.0656328
435_2_0 2.7254380 -0.5617285
436_339_0 339.85190 -0.2911144
437_349_0 349.37340 -0.2842746
438_5_0 4.9469460 0.5877957
439_21_1 21.755710 1.2667220
43_16_-1 16.720690 -1.2335660
441_57_-1 57.966850 -0.8751714
442_307_0 307.93680 0.9889364
443_340_0 340.61610 0.7034995
444_356_1 356.09080 1.3549790
445_9_0 9.807905 0.8750382
447_322_0 323.03220 -0.2876205
448_8_0 8.6513560 -0.0411425
44_337_0 337.13790 0.6986477
450_5_0 5.3976500 -0.8587052
451_21_-1 21.467950 -1.3755010
452_310_0 310.05120 -0.8665049
453_39_-1 39.556250 -1.2989600
454_335_1 335.08160 1.2162970
455_46_0 46.159070 0.7667906
457_30_-1 30.631940 -1.1041400
458_315_0 315.05620 0.8145421
459_13_0 13.213370 -0.5035621
45_52_1 52.775050 1.1607650
460_309_0 308.99190 -0.4620452
461_3_0 3.6602610 -0.7382833
462_18_0 18.926310 -0.8621914
463_47_1 47.379710 1.2334790
465_2_0 2.3450670 -0.6212660
466_325_0 325.59310 0.4673135
467_57_-1 57.508270 -1.4232050
468_350_0 350.69870 -0.9010106
469_33_0 33.501080 0.7217172
46_49_0 49.606550 -0.2882298
470_34_1 34.260890 1.2455750
471_350_0 350.69870 -0.9010106
472_23_1 23.525020 1.2189930
473_345_-1 345.46740 -1.0926340
474_31_-1 31.637920 -1.3096080
475_50_-1 50.896390 -1.1488420
477_33_0 33.515460 -0.2398639
478_341_0 341.85000 0.0217385
479_54_0 54.194620 0.5619347
47_40_0 40.646630 -0.3703717
480_39_-1 39.556250 -1.2989600
482_51_0 51.903730 -0.9861515
483_321_0 321.94360 0.7953301
484_357_0 357.09160 0.7211177
485_29_1 29.805690 1.1664050
486_17_0 17.480070 0.0141095
487_302_0 302.08030 0.4007361
488_17_0 17.379300 1.0010810
489_31_0 31.211940 0.7876340
48_23_0 23.642920 0.6122594
490_343_0 343.58330 0.9330380
491_30_1 30.470200 1.2811480
492_341_1 341.15760 1.1626700
493_11_0 11.446510 -0.8109869
495_17_0 17.599470 -0.2783220
496_9_0 9.895145 -0.3290693
497_55_0 55.379120 -0.6280550
498_14_0 14.086560 0.5682698
499_16_0 16.931380 -0.4096465
49_325_0 325.21960 0.4967639
500_23_0 23.720600 -0.6143755
501_303_0 303.59210 -0.7525020
502_58_0 58.518300 0.3356096
503_29_0 29.544020 -0.8559566
504_338_0 338.46530 0.4837589
505_343_-1 343.46210 -1.1034770
506_335_1 335.81130 1.0877520
507_1_0 1.4815390 -0.4132317
508_16_0 16.843730 -0.6662006
509_20_0 20.569920 0.9443502
50_45_0 45.256520 -0.5729334
510_13_0 13.070450 0.5549567
511_50_0 50.613990 0.9212209
512_325_0 325.21960 0.4967639
513_10_-1 10.701500 -1.4103670
514_21_1 21.755710 1.2667220
515_316_1 316.16910 1.1846800
516_315_0 315.05620 0.8145421
517_346_0 346.51240 0.1252592
518_341_0 341.10090 -0.1489777
519_58_0 57.966850 -0.8751714
51_322_0 322.85670 -0.5836060
520_7_1 7.0558270 1.0330230
521_16_0 16.523710 -0.9002861
522_19_0 19.223180 0.7831774
524_17_-1 17.954220 -1.2346960
525_57_-1 57.508270 -1.4232050
526_4_1 4.5544900 1.3244480
527_54_0 54.194620 0.5619347
528_25_0 25.115130 -0.8458107
529_328_0 328.63660 -0.0832211
52_40_1 40.429980 1.1673570
530_354_0 354.38540 0.2851630
531_40_1 40.260880 1.1420830
532_354_0 354.38540 0.2851630
533_38_0 38.384110 0.8798957
534_17_0 17.717960 0.4239155
535_333_0 333.04310 0.4932734
536_16_0 16.424860 -0.5190577
537_356_1 356.09080 1.3549790
538_18_-1 18.755780 -1.2578570
53_16_0 16.931380 -0.4096465
542_342_0 342.04220 -0.6093264
543_16_0 16.424860 -0.5190577
544_30_0 30.340980 0.5499375
545_333_0 333.04310 0.4932734
546_335_0 335.14370 0.4329056
548_359_0 358.99800 -0.3452113
549_320_0 320.89420 -0.7895117
54_335_0 335.34360 0.3988748
550_29_0 29.544020 -0.8559566
552_57_-1 57.232050 -1.0218510
553_46_0 46.596450 0.0656328
554_43_0 43.870660 -0.1717520
555_58_0 58.201620 -0.7274523
557_57_0 57.261770 -0.9201683
559_321_0 321.94360 0.7953301
55_335_0 335.34360 0.3988748
560_0_0 0.6693155 -0.3611752
561_25_0 25.115130 -0.8458107
562_349_0 350.00490 0.0057263
563_37_-1 37.962140 -1.1882680
564_12_-1 12.380370 -1.2415380
565_344_0 344.81790 -0.7053549
566_39_-1 39.359750 -1.0958140
567_311_0 311.80650 0.0468331
568_10_0 10.814320 -0.6110353
569_314_0 314.67140 0.9923684
56_6_1 6.8203290 1.1553460
570_350_0 350.00490 0.0057263
572_323_0 323.36970 -0.8146810
573_324_0 324.16670 0.6689174
574_31_0 31.812940 0.3420468
575_319_0 319.72820 0.5867822
576_334_-1 334.77140 -1.0539220
577_58_0 58.201620 -0.7274523
579_0_0 359.99130 8.1416880E-05
57_349_0 349.72480 0.2685940
582_37_0 37.369300 -0.0064864
583_336_0 336.66970 0.8797347
584_23_1 23.525020 1.2189930
586_52_1 52.775050 1.1607650
587_342_0 342.04220 -0.6093264
588_31_0 31.211940 0.7876340
589_338_0 338.63320 0.7405780
58_355_0 355.06780 -0.8683234
590_43_0 43.999350 0.5003888
591_31_0 31.129350 0.4104548
592_47_1 47.661370 1.3750760
593_40_0 40.711870 0.0212541
594_5_0 5.4733280 0.1109831
595_320_0 320.89420 -0.7895117
597_322_0 322.31080 0.6661310
598_55_0 54.997960 0.0103858
599_357_0 357.09160 0.7211177
59_44_-1 44.131870 -1.4284910
5_0_0 359.99130 8.1416880E-05
600_20_0 20.457700 0.3933253
601_336_0 336.66970 0.8797347
603_13_0 13.552940 -0.5132278
604_17_0 17.480070 0.0141095
606_312_0 312.18250 0.3395853
607_13_0 13.747680 0.8323563
608_47_0 47.370870 0.3845886
609_59_0 60.039000 -0.0045913
60_3_0 3.3503620 -0.8055389
610_4_0 4.0473320 -0.2786317
611_17_0 17.480360 -0.2489455
612_16_0 16.424860 -0.5190577
613_49_1 49.342240 1.2448380
614_17_0 17.717960 0.4239155
615_22_0 22.860260 0.5455993
617_313_0 313.87080 -0.3678985
619_16_0 16.248020 -0.8742499
61_354_0 355.04560 -0.0015760
620_47_1 47.661370 1.3750760
621_43_0 43.347840 -0.2511810
622_18_0 18.119470 0.3019077
624_44_0 44.874740 -0.2906567
626_2_-1 2.6784430 -1.0428050
627_29_1 29.647440 1.0604650
628_328_0 329.02480 -0.6167101
629_21_0 21.342090 -0.0756872
62_0_0 0.8829868 0.1136300
630_29_1 29.647440 1.0604650
631_358_0 358.19740 -0.4937398
632_53_1 53.427830 1.0205730
633_36_0 36.343450 0.2494452
634_302_0 302.51120 -0.7217860
635_334_0 334.35880 0.6227828
636_33_0 33.652750 -0.7668034
638_46_0 46.159070 0.7667906
639_44_0 44.243580 -0.3063424
63_39_0 38.964970 0.6570396
640_338_0 338.65350 0.1990997
641_327_0 327.27580 0.4184448
642_17_0 17.155410 -0.4768861
643_313_0 313.87080 -0.3678985
644_47_1 47.661370 1.3750760
645_310_0 310.92090 0.0151164
646_338_0 338.65350 0.1990997
647_346_1 345.99700 1.0908640
648_347_0 347.32500 1.0138460
649_341_-1 341.20150 -1.1060740
64_40_0 40.153730 -0.9385092
650_44_0 44.073150 0.2750897
651_4_0 4.9911480 0.0043171
652_58_0 58.291420 0.0429652
654_337_0 337.40690 -0.5791134
655_33_0 33.652750 -0.7668034
657_17_0 17.955450 -0.7138284
658_1_0 1.4815390 -0.4132317
659_8_0 8.6513560 -0.0411425
65_31_0 31.812940 0.3420468
660_328_0 328.63180 0.6589255
661_49_0 49.606550 -0.2882298
662_341_0 341.85000 0.0217385
663_58_0 58.291420 0.0429652
664_33_0 33.652750 -0.7668034
665_357_-1 357.98930 -1.1238660
666_17_0 17.230140 -0.1665226
667_54_0 54.194620 0.5619347
668_60_0 60.039000 -0.0045913
669_350_-1 350.90440 -1.1298550
66_324_1 324.59180 1.1870780
671_334_0 334.77140 -1.0539220
672_55_0 54.997960 0.0103858
673_7_-1 6.9593570 -1.1563740
674_355_-1 355.42820 -1.3747870
675_46_0 46.599050 -0.1471691
676_50_0 50.613990 0.9212209
677_333_0 333.16170 0.4977714
678_20_0 20.569920 0.9443502
679_310_0 310.55010 0.5260888
67_338_0 338.46530 0.4837589
680_317_-1 317.81470 -1.1958740
681_0_0 359.99130 8.1416880E-05
682_39_0 40.017290 -5.0000560E-04
683_8_-1 8.2116920 -1.0154940
684_46_0 46.596450 0.0656328
686_46_0 46.159070 0.7667906
688_0_0 0.8829868 0.1136300
68_9_0 9.942506 -0.3979086
690_329_0 329.02480 -0.6167101
691_27_1 27.176890 1.4641790
692_328_0 328.63180 0.6589255
693_340_1 340.50160 1.0585820
694_22_0 22.860260 0.5455993
695_29_1 29.647440 1.0604650
696_337_0 337.13790 0.6986477
69_332_0 332.77840 -0.1591273
6_29_-1 29.930320 -1.3180690
70_356_0 356.80560 0.2688074
71_2_0 2.3450670 -0.6212660
72_2_1 2.8832660 1.0140350
73_45_-1 45.928350 -1.0645940
74_349_0 349.72480 0.2685940
75_17_0 17.717960 0.4239155
76_5_0 4.9911480 0.0043171
77_37_-1 37.030330 -1.2238600
78_57_0 57.966850 -0.8751714
79_356_0 356.80560 0.2688074
80_38_0 38.964970 0.6570396
81_21_1 21.755710 1.2667220
82_4_0 4.9469460 0.5877957
83_322_0 322.69040 -0.2851031
84_31_0 31.530270 -0.3159039
85_331_0 331.67850 -0.5257847
86_319_0 319.59720 0.2109390
87_44_0 44.874740 -0.2906567
88_353_1 353.83560 1.0788480
89_0_0 0.5087748 0.5852711
8_39_0 39.158360 0.6984199
90_322_0 322.31080 0.6661310
91_358_0 358.19740 -0.4937398
93_36_0 36.343450 0.2494452
95_310_0 310.05120 -0.8665049
96_17_0 17.155410 -0.4768861
97_57_0 57.261770 -0.9201683
98_31_0 31.129350 0.4104548
99_2_0 2.8832660 1.0140350
9_39_0 39.700600 -0.7525562
